strain,ER,Golgi,actin,bud_neck,cell_periphery,cytoplasm,endosome,lipid_particle,mitochondria,none,nuclear_periphery,nucleolus,nucleus,peroxisome,spindle_pole,vacuolar_membrane,vacuole,ensemble_pred,true_labels,mask_area,equator,cx,cy,x1,x2,y1,y2,roundness,GFP_sum,organell_intensity_yen_sum,cyto_intensity_yen_sum,organell_mask3D_yen_sum,cyto_mask3D_yen_sum,organell_intensity_yen_mean,cyto_intensity_yen_mean,organell_area_percent_yen,organell_vs_cyto_yen,GroupCount,ensemble_pred_max,gfp_image_names_max,cw_well_names_max,cell_ID_max,avg_prediction,rescued_from_none,top1_label,top2_label,top3_label,top1_prob,top2_prob,top3_prob,multi_localization_label,multi_localization_probs,whether_multi
1-Oct,0.00037026437598755915,0.115728380812549,0.00383875514065595,0.001565782214511173,0.0001225499470072484,0.0005362546692767017,0.011493725489452322,0.0022816450496139515,0.7625561002293012,0.021397893029069033,0.02591039744733987,0.014845047994786809,0.003392185534425385,0.005714882286717839,0.013557582592431878,0.0010009671333502392,0.01568758924473634,7.724288840262582,8.0,1461.3741794310722,,513.2751641137855,516.0815098468271,489.16739606126913,537.8703501094092,492.19857768052515,540.4638949671772,0.9068337139815419,302831.3014223195,283529.3884026258,2023083.5092997812,1335.4398249452954,11816.898249452954,217.02594178105502,171.15237756273282,0.10154420585024801,1.2674950808979224,1828,16,99_GFP.tif,CW_WellE08_0003_4,517,mitochondria,False,mitochondria,Golgi,nuclear_periphery,0.7625561002293012,0.115728380812549,0.02591039744733987,mitochondria,[0.7626],1
AAC3,0.0006779969231595138,0.017230590325962695,0.0009158073863531473,0.004081000528575549,0.00047913283988785583,5.4090513110454e-05,0.013451126281524914,0.004017204418220002,0.7971967505937461,0.0005226767788276042,0.021706022572532166,0.007553528605312328,0.002268280563702043,0.0013277887942129626,0.002269989647766702,0.005215919551779819,0.12103209529411675,8.808757244043786,8.0,1481.658403090792,,510.243399871217,513.5647134578236,485.93142305215713,535.0556986477785,489.756600128783,537.8779781068899,0.9119857092035769,353365.2775273664,146492.60753380554,2464328.927559562,504.36349001931745,12829.461043142304,295.353294085154,192.21279898567957,0.03924008179840253,1.534432333263303,3106,16,99_GFP.tif,CW_WellD20_0003_4,403,mitochondria,False,mitochondria,vacuole,nuclear_periphery,0.7971967505937461,0.12103209529411675,0.021706022572532166,mitochondria,[0.7972],1
AAD14,0.0041452735446213555,0.0065995635214613785,0.004662599100295262,0.037739449613601476,0.00016974901464090415,0.001376452806890453,0.01260205617344928,0.0023575365629669065,0.08557090802830815,0.26497215550560227,0.009019691354863657,0.10074496692704442,0.020261920488670985,0.0024284511354802406,0.018082304390520658,0.012142218530794049,0.4171246996093009,14.428571428571429,8.0,1339.6666666666667,,502.5646258503401,506.34013605442175,479.312925170068,526.3265306122449,483.5374149659864,529.6394557823129,0.9092556440545583,286120.97959183675,363963.4761904762,1813080.7959183673,1691.156462585034,10365.843537414967,218.48953012345936,174.89627156330064,0.1407010970324469,1.2488441455906643,147,16,97_GFP.tif,CW_WellB08_0003_4,395,vacuole,False,vacuole,none,nucleolus,0.4171246996093009,0.26497215550560227,0.10074496692704442,vacuole,[0.4171],1
AAH1,0.0001193499590207768,3.2629302742470317e-06,9.703174281710144e-05,8.93567264650734e-05,5.410510169714671e-06,0.9907127899460028,1.852105355019275e-06,4.3103283249571446e-06,0.00032975652854843387,0.0008333437798509838,0.002705487612766549,2.299505975818378e-05,0.002234439669150867,0.0014223687232959121,2.9012793456500936e-06,0.001139220801247912,0.0002761287016685893,5.0146484375,8.0,1545.4482421875,,518.2294921875,522.076171875,493.560546875,543.3974609375,497.609375,547.0302734375,0.9110096490507277,1665463.623046875,4782139.0947265625,4038984.765625,4002.4326171875,8360.8486328125,1196.4467648734817,481.42922749365135,0.32600949703961907,2.497834789501462,1024,15,9_GFP.tif,CW_WellC15_0003_4,133,cytoplasm,False,cytoplasm,nuclear_periphery,nucleus,0.9907127899460028,0.002705487612766549,0.002234439669150867,cytoplasm,[0.9907],1
AAP1,0.0113402245275539,0.00034217473570918546,0.00013315649095794197,0.22060880646177275,7.465579066628115e-06,0.7376321302558072,0.0010555742404192037,8.603984163893798e-06,5.386228776143089e-05,0.00034055007227535807,0.003072239469142149,2.1866517823809487e-05,0.00016035365238099427,5.014447829383915e-05,5.6754447327461374e-05,0.016064916495206357,0.009051181867661419,4.657223796033994,8.0,1486.3163361661946,,511.4310670443815,513.9598677998111,487.1756373937677,536.194523135033,489.91076487252127,538.5118035882908,0.9068114141566138,428532.35269121814,839590.1208687441,2174490.2492917846,2818.7847025495753,10557.37818696884,293.9474278430242,205.8293533507859,0.2104498559380896,1.425213439939494,2118,16,9_GFP.tif,CW_WellG04_0003_4,362,cytoplasm,False,cytoplasm,bud_neck,vacuolar_membrane,0.7376321302558072,0.22060880646177275,0.016064916495206357,cytoplasm,[0.7376],1
AAT1,0.00022423014714231871,0.04733348001831352,0.0017633740250278813,0.000861203815513843,0.0008586834146551852,2.792942148195221e-05,0.008528888555840473,0.008286542391569096,0.8918824794653639,2.65142750919858e-05,0.016472611572132406,0.0005761243064555636,0.00017512298710034,0.002847873322784449,0.0008702225773240707,0.000915441600725655,0.018349282395694277,7.9382222222222225,8.0,1461.191111111111,,509.1644444444444,510.264,485.0991111111111,533.7493333333333,486.384,534.6333333333333,0.9073792751754196,324217.30755555554,111456.82711111111,2305677.3897777777,419.89022222222223,12729.929777777777,269.51240784351955,181.2118874941546,0.03270937560418326,1.4859937624897737,2250,16,99_GFP.tif,CW_WellD11_0003_4,471,mitochondria,False,mitochondria,Golgi,vacuole,0.8918824794653639,0.04733348001831352,0.018349282395694277,mitochondria,[0.8919],1
AAT2,0.0009399060821970126,0.00017961524652829593,0.0010462069855598397,4.4518713616643774e-05,4.2506530700376235e-06,0.9922255081723292,0.00025670605871418964,4.347403378501504e-06,1.7288456526714165e-05,6.33312979519109e-05,0.003940260065254532,8.497774455958807e-06,0.00034275444176431346,0.0002792689890770351,1.280751931266931e-05,0.0005845659706208573,5.017465715994834e-05,5.0,8.0,1455.8404966571156,,510.9106972301815,509.26695319961794,486.79751671442216,535.5353390639924,485.56208213944603,533.4684813753581,0.9106956333456335,1167979.23495702,3300205.899713467,3336497.063514804,3863.648519579752,9238.915950334289,851.7586622842744,357.2060855080781,0.29615755491823165,2.3879806684397766,2094,5,99_GFP.tif,CW_WellF21_0003_4,327,cytoplasm,False,cytoplasm,nuclear_periphery,actin,0.9922255081723292,0.003940260065254532,0.0010462069855598397,cytoplasm,[0.9922],1
ABD1,1.9825122456842515e-05,0.00019558049706532485,4.853827073579509e-05,0.00032387692744702593,4.6619351341058045e-06,3.060710581240266e-05,7.393635053476675e-05,1.0800311920507093e-05,4.44862181068368e-05,4.18023673572969e-05,0.0002927610728515358,0.015466639872703811,0.9744837912247962,1.9680117100853138e-05,1.8613251243679645e-05,0.004809166425387116,0.0041152333179161876,12.00635593220339,8.0,1466.0631355932203,,510.9521186440678,512.9300847457627,486.72966101694914,535.6822033898305,489.17754237288136,537.1631355932203,0.9101295045199578,369304.4605932203,292899.90169491526,2387817.902118644,822.2775423728814,12372.111440677965,355.14987541052443,193.0794992835285,0.06304763098601694,1.8378056406600127,2360,16,9_GFP.tif,CW_WellF22_0003_4,396,nucleus,False,nucleus,nucleolus,vacuolar_membrane,0.9744837912247962,0.015466639872703811,0.004809166425387116,nucleus,[0.9745],1
ABP1,0.00021253188934306814,0.001802868090227109,0.9880048779449112,0.003021268797518317,2.1820460869496955e-05,6.602292929662259e-05,0.0002767809207347959,0.0007810822624002786,0.002901578904407795,0.0004569169873368201,5.4078829709831845e-05,2.0267992156939855e-05,1.8471303317263026e-05,0.0022740870897978195,6.897420395218197e-06,6.7132508629040734e-06,7.373948372478396e-05,2.0238747553816046,8.0,1464.0911937377691,,511.15303326810175,513.8117416829746,487.00117416829744,535.787866927593,489.98238747553813,538.1279843444227,0.9089166123028227,613395.3240704502,500662.12250489235,3286071.222700587,778.6363992172211,12397.849706457926,654.7886968426589,264.02108780301523,0.06020522940531727,2.4652498767243345,2555,13,99_GFP.tif,CW_WellH11_0003_4,468,actin,False,actin,bud_neck,mitochondria,0.9880048779449112,0.003021268797518317,0.002901578904407795,actin,[0.988],1
ABP140,0.45476232802591143,0.158945463447948,0.19667674918512953,0.02728069452023239,0.07482723503880598,0.03360808447279118,0.008325269971587806,0.001188414898881097,0.019157982719396945,0.0011537918816788694,0.008178882301729464,0.0004994068377113692,0.00044267728089737973,0.0006317298927653713,0.001636926298065782,0.011783000975347952,0.0009013647032215433,1.0522666666666667,8.0,1410.5242666666666,,516.9093333333333,509.4021333333333,493.1333333333333,541.1829333333334,485.928,533.3717333333333,0.9076598334642638,426231.72,542238.6410666667,2464923.6069333334,1638.0149333333334,11056.703466666666,342.30535048970023,221.7935831201208,0.13207614032882092,1.5393991596370737,1875,16,99_GFP.tif,CW_WellC10_0003_4,442,ER,False,ER,actin,Golgi,0.45476232802591143,0.19667674918512953,0.158945463447948,ER,[0.4548],1
