"","Group.1","X","young129_old126","young129_old127","young129_old128","young130_old126","young130_old127","young130_old128","young131_old126","young131_old127","young131_old128","std","agg23_meandNASF_1","agg35_meandNASF_1","agg23_meandNASF_2","agg35_meandNASF_2","agg23_meandNASF_3","agg35_meandNASF_3","nonzero_aggdif_minus1by2_23C","nonzero_aggdif_minus1by2_35C","nonzero_aggdif_minus1by3_23C","nonzero_aggdif_minus1by3_35C","nonzero_aggdif_minus2by3_23C","nonzero_aggdif_minus2by3_35C","avg2121","avg3535","avg2135","p_Value","avg_ratio_2135vs21","avg_ratio_2135vs35","threshold","GENENAME","threshold2"
"19","NP_009390",19,112.024355893749,109.096056069574,103.888351434961,112.424810860798,109.480011952283,104.266751348594,117.377073981172,114.432275072657,109.213681308222,4.4078448436621,6968.52828137817,10575.8441157284,7045.84362063198,9774.1719656599,7606.56140830711,8443.87189834467,3.91878522205828,3.12208128549644,9.22158782795953,9.56630340913565,6.84721504495248,7.28983738586276,6.6625293649901,6.65940736016495,110.244818658001,4.07203105550286e-12,16.5469917832272,16.5547491984738,TRUE,"CYS3","TRUE"
"21","NP_009396",21,63.3966416023353,63.9888779384723,64.5726525765675,62.5303095193302,63.1899959012063,63.5914265703194,67.2624787383514,67.8999600668522,68.3280138800599,2.22859795166405,34004.3185333731,34827.0821317866,34756.2110992668,35066.2718445888,35144.6326697877,35135.4755968335,4.06299955646215,2.94609326042294,8.39625179321049,4.99677539683252,6.55344562773637,4.23910012381062,6.33756565913634,4.06065626035536,64.973372977055,2.48540540854036e-12,10.2521025377289,16.0007074746506,TRUE,"SSA1","TRUE"
"26","NP_009409",26,80.7064819780264,83.4693936469058,80.8338330240081,83.2369478079985,85.8490001648782,82.6595689669166,83.1175489393392,85.8617726084564,83.244899985321,1.81279665238246,2332.70468314052,1017.94673307843,2449.46763507516,975.633284739216,2569.58971138562,1016.98121850654,3.37387550826018,3.6949585387164,2.99382606592836,9.22114260317326,1.88036980248733,11.1196190719308,2.74935712555862,8.01190673794016,83.2199385690945,5.83868600353763e-15,30.2688718738878,10.3870328613548,TRUE,"ADE1","TRUE"
"34","NP_009460",34,48.4646577580901,46.9299738638501,52.9678282548025,49.3774542248195,47.8427703305794,53.8806247215319,55.0525212886391,53.5178373943991,59.5556917853516,4.11596000784914,6227.42070076923,2384.73919061538,6746.01632384615,2256.16600023077,7449.13107,2412.13573,0.912796466729354,1.53468389424003,6.58786353054904,4.50317049671244,5.67506706381969,6.03785439095246,4.39190902036603,4.02523626063498,51.9543732913404,5.46014548132049e-09,11.8295650138514,12.9071612017985,TRUE,"RPL32","TRUE"
"38","NP_009485",38,128.906471724386,124.975583404032,126.334788490919,133.061691955251,129.130803634897,130.490008721785,134.940950513202,131.010062192848,132.369267279736,3.18444026195959,927.248131190184,2795.50039965031,955.909688631902,2746.73233290552,941.066708104294,2776.5708399546,5.52192581604757,4.81579073974033,7.95308761057036,3.88697855477998,3.34122571918008,2.48841928272439,5.60541304859934,3.7303961924149,130.135514213006,3.06004989413626e-14,23.2160436857591,34.8851723786374,TRUE,"PRS4","TRUE"
"46","NP_009514",46,66.4772826842881,66.2631912156987,61.2730669912136,70.7383226252273,70.5242311566378,65.3147364038291,73.0272670591455,73.1788916352509,69.1427008358841,3.92656209494844,2995.79773129706,2113.77150683592,3098.64835180207,2095.47120862349,3057.09943253368,2062.19724101036,5.87104206564331,3.11520432901201,8.8766742037398,7.17376721029284,4.54958855828266,7.51304082089286,6.43243494255526,5.93400412006591,68.4377434007972,1.9844615573735e-10,10.6394769650963,11.5331472671841,TRUE,"URA7","TRUE"
"49","NP_009523",49,40.559234722738,44.2154943891103,43.485324602238,41.9365757750548,45.5928354414271,44.8626656545549,43.6933846111494,47.3496442775218,46.6194744906495,2.15840583048352,1051.70840964465,1743.26207783113,1085.05911905031,1943.58587516981,1050.3075292673,1912.69453318239,2.87156689299176,3.76620314794202,3.13876144939077,3.21042521840328,3.88866799983858,1.58544047251224,3.29966544740704,2.85402294628585,44.2571815516049,2.37652760772595e-11,13.4126269032466,15.5069466449806,TRUE,"PET9","TRUE"
"57","NP_009542",57,75.5294223947565,77.779682586248,74.7998788140669,80.842699248785,83.0929594402765,80.1131556680954,83.6953105569659,85.9455707484574,82.9657669762762,3.83283783519257,528.069615367589,174.523927222661,575.77645570224,184.749913051383,695.283657865613,192.258976893281,5.3132768540285,6.97627964141667,8.16588816220936,9.08237177952328,2.85261130818087,4.35635232959815,5.44392544147291,6.80500125017937,80.5293829371031,2.82778311836944e-11,14.792521279519,11.8338527762916,TRUE,"SCT1","TRUE"
"60","NP_009551",60,57.2318255532873,53.0935229281877,59.6985478996443,60.2512430232744,56.1129403981748,62.7179653696314,60.6866541448063,56.5483515197066,63.1533764911632,3.31811181103204,34.8403486081027,13.1835699943843,37.4048666586442,13.2320757970317,41.8896959085439,14.8984214737264,3.01941746998714,4.13830262509961,3.45482859151898,2.46672234635697,0.435411121531843,6.60502497145659,2.30321906101265,4.40334998097106,58.8327141475418,8.58290847417586e-11,25.5436901957884,13.3608989523398,TRUE,"UTP20","TRUE"
"66","NP_009571",66,58.6987405848849,64.821275370919,64.5379591950028,54.7460335063865,60.8685682924206,60.5852521165044,55.7207133532628,61.8432481392969,61.5599319633807,3.48397607775731,219.274216214405,147.672582730318,213.841987169179,154.292732479062,216.269301222781,146.418751842546,3.95270707849839,6.12253478603415,5.75205528524884,5.83921861011789,5.69633539650599,0.561921533261826,5.13369925341774,4.17455830980462,60.3757469468954,1.45030457981962e-10,11.7606708080339,14.4627868306674,TRUE,"MNN2","TRUE"
